Column1,Column2,Column3,Column4,Column5,Column6,Column7
563,padbear (平板熊),[標的] 定穎 6251,Thu Oct 15 01:16:18 2020,"
1. 標的：定穎

2. 分類：中長期多單

3. 分析/正文：

基本面

定穎近年慢慢改善公司體質，目前營收呈現月成長，Q2受到疫情的衰退已經慢慢消退，車
用需求慢慢增溫，且公司年底開始會慢慢開出新產能，目前看好短期營收能持續在高峰

https://i.imgur.com/qrrsuSg.jpg

毛利率近年以來產品組合逐漸改善，近四季都穩定來到15%，不過Q3低毛利產品會增加、
加上匯率影響，不太可能維持上季16%
所以先估15%左右

https://i.imgur.com/0V4mXpO.jpg

技術面

目前在整理中 所以要抓短期內大漲有點困難
會偏中長期去做 年線是強力支撐

https://i.imgur.com/hS1Urej.jpg

今天減資彌補虧損案通過，減資10%，有助於邁入成長公司的Eps


4. 進退場機制：(非長期投資者，必須有停損機制)

技術面停損 收跌破16.7

純紀錄自己的操作
怕賠錢不用跟單



",https://www.ptt.cc/bbs/Stock/M.1602695780.A.990.html,"['新產', '定穎']"
564,what5566 (打我阿笨蛋),[標的] 2352佳世達,Thu Oct 15 10:20:05 2020,"
1. 標的：佳世達

2. 分類：長多

3. 分析/正文：
短線籌碼面不優 外資跟主力都在賣
融資也大減

不過長線來看未來是不錯的

8.9月營收都大增

7.8.9月營收加起來超過500億

而且看起來營收還在慢慢往上增加

子公司表現都不錯

聚碩月增22%羅昇月增11%

面板業看來也已經度過最慘的時候了

最重要的友達也站穩11塊邁向12了

更別說明泰近半年的表現有多亮眼

至少從現在來看 佳世達併購的策略很成功

也慢慢反應到營收上面了

佳世達併購的公司都很有未來性

即使短線不漲

但長線來看很有潛力



4. 進退場機制：20以下都可以進 現在才19而已

看好25以上

",https://www.ptt.cc/bbs/Stock/M.1602728407.A.1EE.html,"['友達', '聚碩', '羅昇']"
565,GoogleDocs (Google文件),[標的] 8406 金可KY（長多）,Wed Oct 14 14:42:50 2020,"
1. 標的：8406 金可 KY

2. 分類：多

3. 分析/正文：

先提醒，這支是「長多」而不是「短多」，短期籌碼不漂亮，不太可能爆發。

長多的理由：

- 現在股價128，幾乎是3月股災崩盤時的最低點，股價很低。（年初股價200多）

- 125~130打底盤整了很久，現在是底部（如果沒再跌破）

- 營收逐月回溫，9月營收MoM 37%多，YoY也只剩下個位數年減

  *但是賣壓大，現在呈現谷底利多不漲的情況，上方重重套牢賣壓存在。

- 中國疫情緩和，假日開始到處出遊，從晶碩以及精華的報告都可以看出，
  中國的隱形眼鏡市場是全世界回溫最快的，拉貨動能回流。金可主要市場在中國。

- 金可（旗下品牌：海昌、海儷恩）2020年在中國電商成長幅度極大，
  天貓隱形眼鏡銷售品牌榜海昌第一，銷售產品榜前五名金可奪下四名。

- 預計Q4金可的營收持續前進，因?十一連假+雙十一+雙十二+聖誕節。

- 由於2020年上半年很慘，2021年H1極高機率有雙位數YoY成長。

- 雖然是KY股，但老闆旗下還有寶島眼鏡，一大半員工工廠在中科，可見度不低。

- 蔡家法說會上說，股票上市以來他們一張都沒賣過，也沒任何股票質押。

4. 進退場機制：(非長期投資者，必須有停損機制)

進場：125 - 130 這段都很划算

退場：跌破120（3月低點）最好就撤退，小賠比大賠好

停利：200元

",https://www.ptt.cc/bbs/Stock/M.1602657772.A.E0D.html,"['第一銅', '國電', '第一店', '第一保', '第一金控', '前進', '寶島極', '寶島光學', '世界先進', '世界先進']"
566,lichuer (Z揪兒),[標的] 910861 神州-DR (空),Wed Oct 14 20:01:57 2020,"



1. 標的：910861 神州-DR

2. 分類：空

3. 分析/正文：

DR解禁第一天股價大噴表態

且幾乎是開盤十分鐘以內就漲停鎖死

就算沒漲停也都漲幅都在5%以上

除了美德醫不要看 那有神秘力量在護盤

只有一檔特別烙賽

那就是910861 神州-DR

不但翻綠還暴跌4.5%

外資+主力和賣超過兩萬張

基本上這檔就是沒救了

依照散戶心態明天後應該會來個人踩人大逃殺

無腦空這檔比護送寶寶上國中容易多了

在DR的世界裡是一點風吹草動都能嚇死人

剛剛看了同學會已經開始信心不足

各種準備跳船的聲音四起

今天這種開局神州應該是直接88不用玩了

基本面好沒用 EPS賺錢沒用 產業未來發展性沒用

跟著人群走才是真的


4. 進退場機制：進場 11.6

停利:

10-20% 最後兩天交易日少說再跌10%

空到他們叫媽媽

停損:

開盤漲5%加碼空

9:30分一過預計電梯向下

接下來就等中午放飯數錢

除非漲停鎖死掛大量 不然就是幌子

(非長期投資者，必須有停損機制)



",https://www.ptt.cc/bbs/Stock/M.1602676920.A.8E8.html,"['第一銅', '第一店', '第一保', '第一金控', '世界先進', '世界先進', '美德醫']"
567,CGDGAD ((CGDGAD)),Re: [標的] 2408南亞科,Wed Oct 14 20:39:18 2020,"南亞科讓我賠了2萬8

小弟本來成本54有4張
但是手太賤了56元就賣了
今天最高衝到63.3
這就是典型的挑對股票挑錯時機
對於這支小弟只有8個字建議
“越爛越噴，抱好抱滿”

不過以這支的消息面來看，Q4似乎看多
估計可能衝到67塊甚至更高
（不一定，要看最後一隻老鼠什麼時候出現）
現在可以先陸續減碼了


※ 引述《CGDGAD ((CGDGAD))》之銘言：
: 又過了一段時間，來看一下這一支
: 本來之前56塊多撿一張
: 結果股價就向下了
: 我看到了大喜忘外
: 一路撿到52塊
: 果然牙科不錯玩
: 跌到52之後就向上了
: 現在一副跌不下去的長相
: 長期來看是看多的
: 給DR股玩膩的版友參考
: ※ 引述《CGDGAD ((CGDGAD))》之銘言：
: : 經過一個月，來追蹤一下這支
: : 現在營收是旺季末端了，接下來要開始淡季了
: : 但是你各位去看一下營收與股價的關係
: : 會發現他們的關係就是沒有關係
: : 營收指標就是坨屎
: : 現在股價正在被殺成白癡
: : 真的像極了愛情
: : 要密切注意了
: : 一但殺到45以下開始分批買進，”現在先等等“
: : 玩這支不錯啦，不會讓你破產

",https://www.ptt.cc/bbs/Stock/M.1602679160.A.E0F.html,['南亞']
568,TiMac1 (空軍總司令),Re: [標的] 2303聯電無腦多,Wed Oct 14 11:51:28 2020,"https://i.imgur.com/sO59q3V.jpg

可憐啊    股價沿著ma5屢創新高

散戶不敢買，大戶拼命買

半導體買台積電幹嘛，當然買U

明天又要數錢了，真簡單

※ 引述《TiMac1 (空軍總司令)》之銘言：
: 1. 標的：2303
: 2. 分類：無腦多
: 3. 分析/正文：高檔鈍化很重要
: https://i.imgur.com/z5wMQbi.jpg
: 美股大漲
: 股價沿著布林軌道上緣一路往上噴
: 4. 進退場機制：(非長期投資者，必須有停損機制)
: 出場：收盤跌破5日均線
: 庫存
: https://i.imgur.com/2SnRy2C.jpg
: ",https://www.ptt.cc/bbs/Stock/M.1602647492.A.2C4.html,"['聯電', '台積電']"
569,Redhood (Tanpout),[標的] 9904寶成 短:觀察築底 長:多(0.5-2年),Wed Oct 14 00:01:56 2020,"
1. 標的：9904 寶成

2. 分類：短時間內在下跌趨勢

         當築底完成後(文章內有判斷築底標準)

         會開始走多頭

3. 分析/正文：

https://imgur.com/FJkPKqw

9904寶成從2013-2019年股價很穩定走在月K線圖的120均線上面
但是今年股價整個跌破120均線，來到8年來的新低
所以有可能目前不失為一個好的進場撿便宜的時間點



https://imgur.com/balLLoa

https://imgur.com/4IO2U5q

分析寶成這間公司體質的話
本益比：14.38。(很棒)
股價淨值比：0.67 (很不錯)
近5年盈餘分配率發不到5成，代表公司資金口袋很深

連續32年配發股利，合計72.51元。72/32=2.25 (平均每年發2.25塊股利)
如果我們用每年5%年殖利率來反推它合理股價的話
應該會是2.25*20=45
所以寶成現在的股價為26.6，以歷史價格來說是非常低的水位



https://imgur.com/Nxq3DPm

很明顯寶成目前股價低迷是受限於EPS低落
特別是第2季的EPS是負的

不過剛剛分析過寶成的體質非常優良
它每年發放股利而且還有不少的盈餘分配放在自家公司口袋
我相信這間公司未來會把EPS做回原本的水位只是時間早晚的問題




https://imgur.com/ZekDSKX

https://imgur.com/8peaOJe

接下來要討論短期漂亮的進場時間點
從月K線圖可以看出來，2019年年底到現在每個月法人一直賣超、一直在倒貨
所以我們第一個進場條件要設在法人停止倒貨【當月出現第一根紅色買超】

第2個從日線圖可以看出來
今年4月開始大部分的股票都有往上拉升
可是寶成想突破120均價線一直沒有成功

所以等到上述的【當月出現第一根紅色買超】情境達成以後
寶成的日K線價格很有可能會突破120均線
那當時當月就是一個很漂亮的進場時間點



4. 進退場機制：(非長期投資者，必須有停損機制)

   等日K線站穩120均線時，可以用120均線當成新的下壓力支撐(停損退場點)



文字敘述不如配合影像的口述來得清楚明白
歡迎各位投資朋友來參考我所做的影片分析說明
謝謝各位!!

https://youtu.be/cAP-k7Y_1b4



",https://www.ptt.cc/bbs/Stock/M.1602604918.A.D8D.html,"['第一銅', '突破', '第一店', '第一保', '第一金控', '寶成']"
570,rickywu8106 (阿齊),[標的]4119旭富 股價委屈的股票!,Tue Oct 13 15:16:50 2020,"1. 標的：4119旭富

2. 分類：多

3. 分析/正文：

在這個生技類股噴翻天的一年，市場上總是有遺珠之憾，沒錯就是今天的主角-旭富 全球
原料藥與中間體的領導廠商。

從產業面來看 :

在製藥產業與一般充滿投機性質的新藥藥廠想比，原料藥廠營收及獲利穩定很多，因為不

需要投入過多的研發資本，所以多年來配息也非常穩定。

旭富產品以原料藥及中間體為主，客戶多為國際大藥廠，最大客戶為瑞士製藥商羅氏製藥

主要生產風濕性關節炎、抗顛顯、帕金森氏症等藥物，產品線多元，除了原料藥之外，公

司也有幫國際大廠OEM代工藥品，本身又有成熟藥廠的利基-瑞士GMP認證的

絕對是一支值得投資的好標的。


財務面來看

今年因為疫情的關係，奎寧出貨暢旺，帶動營收大增，股價也曾經來到157的高點，但後

來就一路往下來到目前波段低點。

攤開近三年損益表來看，選了幾個重要的指標來看，簡單整理了表格

年度          2017         2018        2019        2020(累計至Q3)

營收(億)      13.01        19.39       23.56       21.91

營收年增率    -31.6%       49.1%       21.44%      19.35%

毛利率        30.41%       38.61%      39.72%      未知...

淨利率        16.03%       26.58%      29.59%      未知...

EPS            2.41        5.63        7.19        未知....

從數據中可以發現，除了2017年因產品組合調整(自行GOOGLE資料，不贅述)，獲利表現

較差之外，近兩年營收成長超過兩位數，毛利率也穩健的保持在40%左右，而今年因為疫
情

帶動奎寧出貨讓營收大增，前三季營收已逼近去年水準，假設毛利差不多且無其他業外影

響，全年EPS最保守預估可以達到8~9塊錢，以目前股價來看，本益比在15倍左右，買進

也不貴，以往公司配息率近乎8成，以殖利率來看也相當安全。比起天國合一輝，更適合

穩健的投資人。

技術面及籌碼 : 我雖然不太看技術線型，但不得不承認，現在股價表現實在很弱勢，但

是我打開周線圖發現他已經連續兩次摸到115左右後反彈(年線位置)，感覺可以試看看

https://imgur.com/a/WMCx7pL


結語:

展望未來，這兩年因為歐美大麻合法化，旭富的大麻二酚(CBD)開始進入歐美市場銷售，

加上今年疫情帶來的奎寧的出貨效應，公司後面又有三商行富爸爸的支持，旭富的成長

性可以期待，股價?  就隨緣吧!


4. 進退場機制：目前股價118或是等到100附近，買進並長期持有

本人其實也是旭富的股東，目前持有五張均價約在117左右

對帳單
https://i.imgur.com/YvIsvJ6.jpg
",https://www.ptt.cc/bbs/Stock/M.1602573412.A.7F2.html,"['三商電', '三商行', '旭富']"
571,tomkobe (tomkobe),Re: [標的] 美股 SQ、ROKU、FSLY、DDOG、BYND、PTON、NVTA,Tue Oct 13 07:00:25 2020,"如果有買NET 的人 恭喜賺了24%

今天NET 發布了新產品 Cloudflare one

直接跟 ZS 競爭 另外也個 CRWD, VMW, OKTA

合作 加上 ARK 今天也買了 $14.9M 的NET

更加確定 NET 未來幾年會維持高成長

另外也可以多多注意 edge computing 硬體

相關的台灣概念股

引述《tomkobe (tomkobe)》之銘言：
: FSLY and DDOG 現在各漲了7% and 10%
: 如果前幾天賣掉 可能就沒有遇到今天的漲幅
: 所以這種成長股 沒有任何的rev decline
: 就是抱緊就對了 但現在這兩間估值有點過高
: 我應該不會採取加碼的動作 就讓他們慢慢漲
: 另外因為我在美國 賣掉會被課很多的資本
: 利得 所以我在賣股票還是要看時間點來賣
: 另外我覺得 NET 可以注意一下 computer
: Edge 是未來成長趨勢 加上他們跟team 合作
: 免費期到今年九月 之後開始收費 應該對於
: Rev 有很大的幫助 但這也是我的分析而已
: ※ 引述《tomkobe (tomkobe)》之銘言：
: : https://i.imgur.com/yHLYkr4.jpg
: : 先付帳單
: : 成長股的策略就是buy and hold until rev growth decrease
: : Ddog rev growth 從80多掉到60多 %
: : Rev growth 60多% !!!!! 你有看到有幾間公司
: : 可以成長50%以上？ 然後他們最近跟MSFT
: : 結合 未來跑到還很長
: : FSLY rev growth 從40多成長到60多%
: : 財報跌的原因是因為tiktok 但tiktok 在美國才
: : 佔不到6% rev 另外tiktok 問題未來會解決
: : 加上今天新聞Fastly 跟google 結合 沒有任何
: : 可以賣掉的理由
: : 我在ddog and FSLY 財報大跌的時候都有加碼
: : 唯一不加碼的只有ZM 因為已經佔我股票組合
: : 的 30%
: : 引述《qk123 (qk123)》之銘言：

",https://www.ptt.cc/bbs/Stock/M.1602543627.A.271.html,"['台灣煉鐵', '新產', '台灣大']"
572,acwinter (acwinter),[標的] 漢唐 2404 多,Mon Oct 12 22:00:52 2020,"1. 標的： 漢唐 2404

2. 分類：多

3. 分析/正文：

第一季營收  68.46億  淨利  7.46億  EPS  3.91

第二季營收  99.95億  淨利  11.14億
EPS  5.85

第三季營收  119.67億  淨利  13.16億
EPS  6.90 （以H1淨利率11%推估）

前三季EPS已累計16.66元，如以前三季平均推估第四季，全年度可達22.2元，如第四季與
第三季持平，全年度更達23.56元。

更何況GG狂增加資本支出又有興建廠房的需求，近ㄧ兩年應該都會維持這種營收強度！

EPS如全年達23.56元以上，今天收盤股價才197.5，會不會太委屈了啊？



4. 進退場機制：長期投資

備註：沒耐心就別買了吧
這間公司的配息率這麼高，公司又這麼賺，無奈法人只喜歡炒作爛股，外資還狂賣，不愛
這種績優股~

你繼續賣我繼續買~~~科科我傻多

這檔股價300我都覺得委屈！

",https://www.ptt.cc/bbs/Stock/M.1602511254.A.620.html,"['第一銅', '漢唐', '第一店', '第一保', '第一金控', '第三波']"
573,HAlan (無名),Re: [標的] 聯電 2303 多,Sun Oct 11 23:33:33 2020,"※ 引述《hungayo (Ayo)》之銘言：
: ※ 引述《icehorng (萊汀)》之銘言：
: : 請問一下
: : 今天聯電賣超6萬1張
: : 買超5萬3張
: : 中間的賣差8千張是指誰接去了？
: : 有沒有可能是散戶呢
: : 再問一個問題
: : 為什麼明明就是賣超8千張還能漲停
: : 謝謝指教
: : https://i.imgur.com/qgHI388.gif
: 好奇聯電跟美光在美國的官司解決了嗎?會不會過幾個月美國判決下來......投資人全
部?
: 目前台灣第一仗聯電好像輸了，但其實沒差台灣法律就出來搞笑的輸贏都沒影響，但美
國

首先你要先搞清楚這次美光與聯電的官司
與聯電合作的晉華實際上並無任何Dram產品在市面上販售，所以實質上美光的商業損失是
0（這點很重要）在這個前提下不管聯電是否真的有惡意侵害智慧財產權的行為，賠償金
額勢必不可能無限上綱。 更何況聯電的Dram架構跟美光是不一樣的，是否真有惡意侵害
美光智權都還很難說，真心覺得這個官司對聯電影響不大

",https://www.ptt.cc/bbs/Stock/M.1602430415.A.449.html,"['台灣煉鐵', '第一銅', '聯電', '第一店', '第一保', '第一金控', '台灣大']"
574,gggping (麵包超人),[標的] 廣寰科3287,Mon Oct 12 10:03:08 2020,"1. 標的：廣寰科 3287

2. 分類：多

3. 分析/正文：

受惠宅經濟

https://i.imgur.com/WKhQuS1.png

營收大幅成長，累計年營收比去年增加61%

【公告】廣寰科 2020年9月合併營收8034萬元 年增105.12%

【公告】廣寰科 2020年8月合併營收7551.4萬元 年增86.15%

廣寰科自結7月合併獲利2822萬元，每股稅後0.64元

公告本公司一年內累積處分同一有價證券達實收資本額20%

1.證券名稱:
台灣積體電路製造股份有限公司(2330)
2.交易日期:109/7/7~109/9/24
3.交易數量、每單位價格及交易總金額:
交易數量:229,000股;每單位價格:平均新台幣422.3864629元;
交易總金額:新台幣96,726,500元
4.處分利益（或損失）（取得有價證券者不適用）:
處分利益: 新台幣19,809,822元

交易日期到9/24，不清楚是否全列在七月營收，不過更正之前的獲利預估

停損:  設季線23，季線停損，站回又買進

停利:  10%、20%、前波高點，都可以。我自己設定前波高點。

",https://www.ptt.cc/bbs/Stock/M.1602468190.A.D3B.html,"['台灣煉鐵', '台灣大']"
575,kusomanfcu (POE yea開始急速惡化了（),Re: [標的] 黃金已死，糧食當立,Mon Oct 12 10:56:48 2020,"新聞補充
南海很熱鬧
https://www.cwb.gov.tw/Data/typhoon/TY_NEWS/PTA_202010120000-24_zhtw.png
https://images.chinatimes.com/newsphoto/2020-10-12/900/20201012001164.jpg

目前2+1

https://edition.cnn.com/2020/10/11/weather/hurricane-delta-sunday/index.html
DELTA還有龍捲風出現

Wheat blast 出現於非洲陸續蔓延
https://guardian.ng/features/red-alert-as-wheat-blast-hits-africa/
疫情期間沒啥人會去救非洲的，要自立自強或進口喔

http://www.fao.org/home/
世界糧食日10/16日 大家股票都發財了，
用賺的錢買糧食給加勒比和拉丁美洲還有非洲好嗎?




※ 引述《kusomanfcu (POE yea開始急速惡化了（)》之銘言：
: 新聞補充
: 利多不斷
: 持續持有
: 大家沒事多吃點牛肉
: 貴貴的牛肉在海上
: 巴西雨季到了沒有雨
: https://i.imgur.com/5I2hh7z.jpg
: 墨西哥灣颱風尻上去啦
: 主要是德州和路易斯安那
: 影響牧業
: https://i.imgur.com/dlIfljc.jpg
: 另一個直得期待的颱風會不會直接爬上去日本再衝進北海道是需要觀察的
: https://i.imgur.com/sPKtNkJ.jpg
: 地中海附近洪水
: https://i.imgur.com/rx9MZxk.jpg
: 美豬1/1 大家請期待
: https://i.imgur.com/L1CqzID.jpg
: 糧食組織買買買
: 沒事幹的快去喊黃金沒救，知道嗎？
: 黃金會漲？不然你用黃金換吐司阿？
: ※ 引述《kusomanfcu (POE yea開始急速惡化了（)》之銘言：
: : 最新氣象新聞
: : 太平洋上颱風
: : https://i.imgur.com/HIRmNLr.jpg
: : 進入大陸東北和影響到北海道的話
: : 大陸東北和黃河流域的集中收割在9月中到10月中
: : 北海道也差不多
: : 西太平洋颶風
: : https://i.imgur.com/LD6hqce.jpg
: : 墨西哥灣往上再次尻一拳
: : 歐洲italy france洪水
: : https://i.imgur.com/FHaJbJO.jpg
: : 美國野火
: : https://i.imgur.com/PBbEyxy.jpg
: : 巴西野火
: : https://i.imgur.com/LMEtLKq.jpg
: 安
: : 全
: : no

",https://www.ptt.cc/bbs/Stock/M.1602471413.A.59B.html,"['大陸', '世界先進', '世界先進']"
576,noldorelf (屏東周渝民),[標的] 同開3018 多,Sun Oct 11 17:09:53 2020,"1. 標的：同開 3018

2. 分類：多

3. 分析/正文：

基本面：今年營收跟去年比起來有顯著增加，目前9月營收尚未出來

消息面：新聞說拿到沃旭風電的工程，也放風聲說有40億訂單在手，如果營收真的也有配
合上那應該可以期待一下。

技術面：從2018大跌後打底，日線上在今年初有進攻上所有均線一次，但遇到疫情又被打
下來。

七月後再次有站上所有均線的進攻，目前在這邊以箱型整理已近持續三個月，且整理過程
有量縮+進攻出量下跌無量，符合底部整理的量能。

K棒在7月以來的整理也都以大紅小黑為主的型態，屬於優良整理方式。

如圖

https://i.imgur.com/oA9F0U8.jpg

4. 進退場機制：

目前21.6進場2張賭營收+建基本倉，量縮回20附近再建第二倉，若小量跌破20則不建倉等
轉多再加碼，其餘看情況演變。

停損：大量跌破20則減碼觀察，同樣等轉多再建倉，但除非有重大事情否則不全砍，畢竟
在相對底部了。

停利：靠近30附近有月線上的壓力，可能會下跌一些形成更大的底，所以開拉超過24後靠
近30就停利。

基本倉對帳單

https://i.imgur.com/ijwc0rI.jpg


",https://www.ptt.cc/bbs/Stock/M.1602407395.A.82F.html,['同開']
577,Redhood (Tanpout),[標的] 2330台積電 多頭-10月突破466.5塊防線,Sun Oct 11 18:56:16 2020,"
1. 標的：2330台積電

2. 分類：多

3. 分析/正文：

我們台灣加權指數老大哥2330台積電
自從7/28股價達到高峰466.5塊以後
已經沉靜了2個多月

這2個多月曾經有2次想要突破這466塊防線
但是都沒有挑戰成功

這一次，沒錯就是這一次，right now!!!
小弟個人很看好本月
說實在的貪心一點大概是下周1-2很有可能股價可以突破466塊防線

究竟為什麼前2個多月沒辦法達到的事情
我現在會做這個大膽預測呢
原因是在於以下5個技術分析指標

依據1：評論台積電為全台灣體質最優良的公司也不為過
https://imgur.com/9JIArbI

台積電自從7/28達到466.5塊以後
已經2個多月都在466-423塊區間內做盤整
即便美股在9月中跌破月線
台積電還是一整個不動如山，非常穩重

護國神山2330台積電，整間公司乘載著台灣人的夢想(不好意思扯遠了)
回到7月底的時間點，我記得當時一堆分析師喊著「台積電股價上看500塊!!」
我想當時他們是用EPS：18塊、本益比28的設定去做評估



台積電，這一間體質優良的好公司
EPS持續突破18-20塊創造高峰，不是一個口號而已，只是時間上的問題
以它公司營運穩健的角度去做評估，股價持續往上走- 勢在必行




依據2：美股台股整體大盤10月持續多頭發生
https://imgur.com/fRyncbN

這一個部份我先用美股NASDAQ來做一個判斷
美股NASDAQ9月總共跌了12.8%
但是台積電它不動還是不動
雖然說有小跌到月線以下
但是很明顯撐在423塊以上

美股9月走了一個小空頭，沒有發生大跌
這個月10月初股價走回到月線以上
代表10月很有可能整體資金回流，整體大盤持續走多頭



在整體大盤持續走多頭的情況下
會連動帶動台積電上攻突破466塊




依據3：台積電ADR就起飛位置
https://imgur.com/AVGjhKn

台積電ADR上周10/7-10/9已經突破先前高點86.79塊
KD指標也開始進入80↑ 【FEVER過熱狀態】

有台積電先行指標的ADR
很有可能可以帶動台積電股價往上攻




4. 法人連續7天買超，持續佈局
https://imgur.com/qcz07lf

在9月中法人連續賣超6天的情況下
台積電還是一整個跌不破423塊

所以等之後法人資金開始回流佈局
已經連續7天進行買超佈局的動作


我相信法人外資這些餓狼也是在虎視眈眈等待台積電上攻突破466塊成功




依據5：KD指標已經2個多月沒有達到80↑
https://imgur.com/GH1TqmK


KD指標2個多月沒有達到80↑進入過熱的階段
如同2個多月沒有打手...遊的男朋友一樣
它已經悶了很久！！！

我們一定要釋放它這種悶太久的壓力
身為男性朋友一定知道悶久了對身心靈都不健康！！(抱歉又扯遠了)



在KD指標悶了這麼久的情況下
綜述上列各個指標都就指定起飛位置
照常理來說10月是應該讓台積電的KD指標爆發一波的


",https://www.ptt.cc/bbs/Stock/M.1602413778.A.101.html,"['台灣煉鐵', '台積電', '突破', '全台', '台灣大']"
578,j547 (j547),Re: [標的] 小道瓊 (空),Sat Oct 10 11:52:32 2020,"有蠻多版友要我來回文的，
就來回文，就520停損。
之前停利會出來回是因為停利的點都沒有寫得很清楚，
停損的點都會直接寫一個點位，
掛好就可以去做其他事或睡覺了，
所以停利會出來特別回。

至於版友關心有沒有被嘎爆可憐等等之類的，
上次就已經拿500點，這次賠100點，
Errrrr...
我想是風險報酬比有掌握好就好。

另外這也只是許多操作策略中的其中一個而已，
個人也有半倉的科技股多單，
昨天科技股全面上揚我也是很開心，
http://i.imgur.com/jKqf8Hg.jpg
抱歉啦，讓想要我崩潰的版友失望了。

有實質看法的版友讓我覺得有幫助的，或是可以多請教的，
真的非常感謝，有疑問的話會再一一寄信請教版友，
還請版友不吝指教。

至於什麼靠賽或是笑死等沒有實質建議的部分，
就如同我先前發DR股溢價文下面拿tsmc來比的一樣，
就忽略就好了，因為對我的交易邏輯沒有幫助。

",https://www.ptt.cc/bbs/Stock/M.1602301960.A.328.html,['上揚']
579,behati (Behati Prinsloo Levine),[標的] 2392 正崴 多,Fri Oct  9 17:02:15 2020,"

1. 標的：正崴 2392

2. 分類：多

3. 分析/正文：
   近日公布9月營收年減15.17%，但是月增8.15%，11月將有蘋果新品以及PS5出貨。
   在10/6的時候，其實已有新聞法人預期9月營收將呈現月增但年減的表現，因此
   可以用營收年減的小利空測試看看，如果利空不跌似乎可以當作一個不錯的進場點

   目前的日K、周K、月K都處於量縮打底的階段並呈現三角收斂的走勢，並且外資上周
   連續買進5日，融資部分也從8/19的10235張減至昨天的8301張。
   因此趁這次公布營收試試看，看看有沒有機會出量上攻。

4. 進退場機制：
   進場:星期一開盤不跌破月線約41元的位置，以41元附近的點位進場。
        想要穩一點可以等站上季線(41.5)
   停利:先看44.8 突破續抱 若站不回9/3 9/4的缺口 也賺便當出場
   停損:跌破前低39.9




",https://www.ptt.cc/bbs/Stock/M.1602234137.A.E3A.html,"['正崴', '突破']"
580,kusomanfcu (POE yea開始急速惡化了（),Re: R: [標的] 黃金已死，糧食當立,Fri Oct  9 23:09:13 2020,"新聞補充

利多不斷

持續持有

大家沒事多吃點牛肉

貴貴的牛肉在海上

巴西雨季到了沒有雨

https://i.imgur.com/5I2hh7z.jpg
墨西哥灣颱風尻上去啦
主要是德州和路易斯安那
影響牧業

https://i.imgur.com/dlIfljc.jpg
另一個直得期待的颱風會不會直接爬上去日本再衝進北海道是需要觀察的

https://i.imgur.com/sPKtNkJ.jpg

地中海附近洪水
https://i.imgur.com/rx9MZxk.jpg

美豬1/1 大家請期待

https://i.imgur.com/L1CqzID.jpg

糧食組織買買買

沒事幹的快去喊黃金沒救，知道嗎？
黃金會漲？不然你用黃金換吐司阿？

※ 引述《kusomanfcu (POE yea開始急速惡化了（)》之銘言：
: 最新氣象新聞
: 太平洋上颱風
: https://i.imgur.com/HIRmNLr.jpg
: 進入大陸東北和影響到北海道的話
: 大陸東北和黃河流域的集中收割在9月中到10月中
: 北海道也差不多
: 西太平洋颶風
: https://i.imgur.com/LD6hqce.jpg
: 墨西哥灣往上再次尻一拳
: 歐洲italy france洪水
: https://i.imgur.com/FHaJbJO.jpg
: 美國野火
: https://i.imgur.com/PBbEyxy.jpg
: 巴西野火
: https://i.imgur.com/LMEtLKq.jpg
: ※ 引述《kusomanfcu (POE yea開始急速惡化了（)》之銘言：
: : USDA
: : 庫存
: : 大豆砍半
: : 其他砍一成
: : 然後大陸目前出來的含水量高
: : （不利儲存，不適合長擺，發霉的飼料畜牧會死，現在價格好更要用安全的飼料）
: : 昨晚就如同預期。。
: : 然後大陸訂貨是沒設時間
: : 理論上就是
: : 短期飼料會用東北的貨
: : 美國豬價不用擔心，1/1後台灣就來了
: : 台豬比較貴，台灣飼料不知道會不會在爐渣地上種，吃美豬別吃內臟，安心又便宜，
安
: 全
: : 的飼料在美國，便宜又好。
: : 利多不斷，持續持有
: : 短期要關注南美和澳洲，如果澳洲在3月前沒開放工作旅遊的農民工。
: : 必然爆炸噴
: : 不預設高點
: : 提早出場就用獲利比例
: : 每賺超過10% 出貨10%
: : 賺越多要分享，獨獨樂不如眾眾樂
: : 看好糧食相關多的
: : 記得看到黃金轉折點
: : 就倒處喊strong sell.
: : 一起 make america farmer great again
: : 以前找豬仔當奴工現在養豬仔
: : 美國就是強相信川普
: no
: : t-
: : 加

",https://www.ptt.cc/bbs/Stock/M.1602256155.A.30B.html,"['台灣煉鐵', '大陸', '台灣大']"
